state_code,state_name,district_code,district_name,block_code,block_name
27,Maharashtra,521,Nashik,52101,Nashik
27,Maharashtra,521,Nashik,52102,Igatpuri
27,Maharashtra,521,Nashik,52103,Trimbakeshwar
27,Maharashtra,521,Nashik,52104,Peth
27,Maharashtra,521,Nashik,52105,Surgana
27,Maharashtra,521,Nashik,52106,Kalwan
27,Maharashtra,521,Nashik,52107,Deola
27,Maharashtra,521,Nashik,52108,Dindori
27,Maharashtra,521,Nashik,52109,Niphad
27,Maharashtra,521,Nashik,52110,Sinnar
27,Maharashtra,521,Nashik,52111,Chandwad
27,Maharashtra,521,Nashik,52112,Yeola
27,Maharashtra,521,Nashik,52113,Nandgaon
27,Maharashtra,521,Nashik,52114,Malegaon
27,Maharashtra,521,Nashik,52115,Baglan
27,Maharashtra,525,Pune,52501,Pune City
27,Maharashtra,525,Pune,52502,Haveli
27,Maharashtra,525,Pune,52503,Mulshi
27,Maharashtra,525,Pune,52504,Maval
27,Maharashtra,525,Pune,52505,Junnar
27,Maharashtra,525,Pune,52506,Ambegaon
27,Maharashtra,525,Pune,52507,Khed
27,Maharashtra,525,Pune,52508,Shirur
27,Maharashtra,525,Pune,52509,Purandar
27,Maharashtra,525,Pune,52510,Baramati
27,Maharashtra,525,Pune,52511,Indapur
27,Maharashtra,525,Pune,52512,Daund
27,Maharashtra,525,Pune,52513,Bhor
27,Maharashtra,525,Pune,52514,Velhe
